"""","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)","平成25年度(2013)"
"地方債現在高合計(県債)(百万円)","890767.0","922133.0","941066.0","977940.0","1005230.0"
"","","","","",""
"　普通会計債現在高(百万円)","856117.0","889348.0","909734.0","948437.0","977205.0"
"","","","","",""
"公共事業等債(百万円)","293409.0","286533.0","281420.0","288246.0","302669.0"
"一般単独事業債(百万円)","197218.0","197700.0","194790.0","190315.0","182717.0"
"公営住宅建設事業債(百万円)","7273.0","6677.0","6138.0","5869.0","5711.0"
"","","","","",""
"学校教育施設等整備事業債(百万円)","3371.0","4019.0","4176.0","4682.0","4619.0"
"公共用地先行取得等事業債(百万円)","8020.0","6491.0","4536.0","1848.0","165.0"
"災害復旧事業債(百万円)","3939.0","3452.0","7351.0","13523.0","15897.0"
"全国防災事業債(百万円)","0.0","0.0","0.0","0.0","7.0"
"緊急防災・減災事業債(百万円)","0.0","0.0","1973.0","9655.0","11409.0"
"","","","","",""
"首都圏等整備事業債(百万円)","109.0","53.0","4.0","3.0","2.0"
"厚生福祉施設整備事業債(百万円)","50.0","30.0","27.0","24.0","21.0"
"社会福祉施設整備事業債(百万円)","1286.0","1263.0","1268.0","1332.0","1377.0"
"一般補助施設整備等事業債(百万円)","3579.0","3908.0","3808.0","3783.0","3575.0"
"施設整備事業債（一般財源化分）(百万円)","389.0","1006.0","1298.0","2087.0","3046.0"
"地域財政特例対策債(百万円)","1.0","0.0","0.0","0.0","0.0"
"","","","","",""
"国の予算･政府関係機関貸付債(百万円)","19663.0","20600.0","21457.0","22166.0","21585.0"
"財源対策債(百万円)","9746.0","9584.0","9632.0","10477.0","10455.0"
"減収補填債(1982、86、98年度分)(百万円)","2863.0","2693.0","2523.0","2353.0","2183.0"
"","","","","",""
"臨時財政特例債(百万円)","1467.0","179.0","0.0","0.0","0.0"
"減税補填債(百万円)","14627.0","13390.0","12154.0","10917.0","9711.0"
"","","","","",""
"臨時税収補填債(百万円)","1972.0","1831.0","1549.0","1267.0","985.0"
"臨時財政対策債(百万円)","204334.0","248758.0","278136.0","303948.0","329805.0"
"","","","","",""
"行政改革推進債(百万円)","4747.0","4863.0","4609.0","4422.0","4226.0"
"退職手当債(百万円)","33658.0","33179.0","32030.0","33038.0","31018.0"
"その他(百万円)","44396.0","43139.0","40855.0","38482.0","36022.0"
"","","","","",""
"　公営企業債現在高(百万円)","17765.0","16362.0","15433.0","14162.0","13401.0"
"","","","","",""
"土地造成事業債(百万円)","11398.0","10249.0","9580.0","8523.0","7993.0"
"","","","","",""
"こころの医療センター事業債(百万円)","6367.0","6113.0","5853.0","5639.0","5408.0"
"","","","","",""
"　港湾特別会計(百万円)","4117.0","3692.0","3270.0","2838.0","2396.0"
"　流域下水特別会計(百万円)","11862.0","11999.0","12050.0","12030.0","11849.0"
"　想定企業分(百万円)","906.0","732.0","579.0","473.0","379.0"
